股票名称,股票代码,今开,成交量,最高,涨停,内盘,成交额,委比,流通市值,市盈率MRQ,每股收益,总股本,昨收,换手率,最低,跌停,外盘,振幅,量比,总市值,市净率,每股净资产,流通股本
生物科技,sh501009,1.03,2479手,1.03,,,25.58万,,,,,,1.03,,1.03,,,,,,,,
生物科C,sh501010,1.05,151手,1.05,,,1.58万,,,,,,1.04,,1.03,,,,,,,,
中药基金,sh501011,1.07,2381手,1.08,,,25.70万,,,,,,1.07,,1.07,,,,,,,,
中药C,sh501012,1.06,2537手,1.07,,,27.04万,,,,,,1.08,,1.06,,,,,,,,
创业板EF,sh501015,1.03,16.63万手,1.03,,,1714.42万,,,,,,1.03,,1.03,,,,,,,,
国泰融丰,sh501017,0.98,3025手,0.98,,,29.57万,,,,,,0.98,,0.98,,,,,,,,
南方原油,sh501018,0.93,4.59万手,0.93,,,425.93万,,,,,,0.93,,0.93,,,,,,,,
香港中小,sh501021,1.22,10.76万手,1.22,,,1306.04万,,,,,,1.22,,1.21,,,,,,,,
银华鑫盛,sh501022,0.94,4885手,0.94,,,45.84万,,,,,,0.94,,0.94,,,,,,,,
港中小企,sh501023,1.11,1.52万手,1.11,,,168.63万,,,,,,1.11,,1.1,,,,,,,,
香港银行,sh501025,1.06,178手,1.06,,,1.88万,,,,,,1.06,,1.05,,,,,,,,
财通福享,sh501026,0.94,1.10万手,0.95,,,103.97万,,,,,,0.94,,0.94,,,,,,,,
财通福瑞,sh501028,0.93,2.50万手,0.93,,,231.97万,,,,,,0.93,,0.93,,,,,,,,
红利基金,sh501029,1.02,5.51万手,1.02,,,560.92万,,,,,,1.02,,1.02,,,,,,,,
环境治理,sh501030,1.01,547手,1.02,,,5.55万,,,,,,1.01,,1.01,,,,,,,,
环境C,sh501031,1.01,227手,1.01,,,2.29万,,,,,,1.01,,1.01,,,,,,,,
50AH,sh501050,1.02,8571手,1.02,,,87.59万,,,,,,1.02,,1.02,,,,,,,,
美元债,sh501300,1.01,2957手,1.01,,,29.85万,,,,,,1.01,,1.01,,,,,,,,
500等权B,sh502002,0.98,260手,1,,,2.59万,,,,,,0.99,,0.98,,,,,,,,
军工分级,sh502003,1.12,4198手,1.13,,,47.20万,,,,,,1.13,,1.12,,,,,,,,
军工A,sh502004,1.01,2784手,1.01,,,28.24万,,,,,,1.01,,1.01,,,,,,,,
军工B,sh502005,1.23,2.88万手,1.24,,,355.45万,,,,,,1.24,,1.23,,,,,,,,
国企改革,sh502006,1,5617手,1.02,,,56.69万,,,,,,1,,1,,,,,,,,
国企改A,sh502007,1.09,198手,1.1,,,2.17万,,,,,,1.09,,1.09,,,,,,,,
国企改B,sh502008,0.92,4.11万手,0.93,,,378.82万,,,,,,0.91,,0.91,,,,,,,,
证券分级,sh502010,1.15,6383手,1.16,,,73.65万,,,,,,1.14,,1.14,,,,,,,,
证券A,sh502011,1.01,4925手,1.01,,,49.76万,,,,,,1.01,,1.01,,,,,,,,
证券B,sh502012,1.28,4.17万手,1.31,,,541.03万,,,,,,1.28,,1.28,,,,,,,,
一带一路,sh502013,0.85,30.36万手,0.9,,,2641.82万,,,,,,0.85,,0.85,,,,,,,,
一带一B,sh502015,0.69,60.25万手,0.76,,,4347.61万,,,,,,0.69,,0.69,,,,,,,,
带路分级,sh502016,1.1,1143手,1.14,,,12.87万,,,,,,1.12,,1.1,,,,,,,,
带路A,sh502017,1.01,134手,1.02,,,1.37万,,,,,,1.01,,1.01,,,,,,,,
带路B,sh502018,1.16,2262手,1.31,,,28.27万,,,,,,1.2,,1.16,,,,,,,,
国金50,sh502020,1.18,308手,1.2,,,3.70万,,,,,,1.2,,1.18,,,,,,,,
国金50A,sh502021,1.02,964手,1.02,,,9.87万,,,,,,1.01,,1.02,,,,,,,,
国金50B,sh502022,1.33,151手,1.38,,,2.07万,,,,,,1.36,,1.33,,,,,,,,
钢铁分级,sh502023,0.99,510手,0.99,,,4.84万,,,,,,0.95,,0.95,,,,,,,,
钢铁A,sh502024,1.06,29手,1.08,,,3077,,,,,,1.08,,1.06,,,,,,,,
钢铁B,sh502025,0.85,1087手,0.85,,,9.20万,,,,,,0.85,,0.84,,,,,,,,
新丝路,sh502026,0.9,1935手,0.91,,,17.67万,,,,,,0.91,,0.9,,,,,,,,
新丝路A,sh502027,1.06,1346手,1.08,,,14.22万,,,,,,1.07,,1.04,,,,,,,,
新丝路B,sh502028,0.73,1332手,0.75,,,9.88万,,,,,,0.74,,0.73,,,,,,,,
高铁A,sh502031,1.05,263手,1.05,,,2.74万,,,,,,1.06,,1.03,,,,,,,,
高铁B,sh502032,1.14,8038手,1.2,,,94.45万,,,,,,1.16,,1.14,,,,,,,,
互联金融,sh502036,1.05,80手,1.05,,,8356,,,,,,1.07,,1.04,,,,,,,,
网金A,sh502037,1.03,285手,1.03,,,2.94万,,,,,,1.03,,1.03,,,,,,,,
网金B,sh502038,1.02,191手,1.06,,,1.98万,,,,,,1.05,,1.02,,,,,,,,
上50分级,sh502040,0.97,113手,0.97,,,1.10万,,,,,,0.98,,0.97,,,,,,,,
上50A,sh502041,1.02,551手,1.02,,,5.64万,,,,,,1.02,,1.02,,,,,,,,
上50B,sh502042,0.87,1305手,0.89,,,11.39万,,,,,,0.87,,0.87,,,,,,,,
50分级,sh502048,1.17,1.83万手,1.17,,,215.26万,,,,,,1.17,,1.17,,,,,,,,
上证50A,sh502049,1.02,6.46万手,1.03,,,663.20万,,,,,,1.02,,1.02,,,,,,,,
上证50B,sh502050,1.32,9.87万手,1.33,,,1299.23万,,,,,,1.32,,1.31,,,,,,,,
